fqdn,ip_addr,port,cloud_type,method,url,vendor_name,prod_name,prod_version,prod_trigger,prod_type,prod_vuln,origin_login,origin_login_trigger,wrong_comment,error_msg,server_header,log,date
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,ubuntu,ubuntu_linux,*,(Ubuntu),OS,"CVE-2005-0109
CVE-2004-0882
CVE-2004-0888
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,php,php,5.3.2,PHP/5.3.2,Language,"CVE-2015-8994
CVE-2016-7478
CVE-2011-3268
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,wordpress,wordpress,*,://192.168.184.129/wordpress/xmlrpc.php,CMS,"CVE-2017-14723
CVE-2017-16510
CVE-2017-5611
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,wordpress,wordpress,*,"""http://192.168.184.129/wordpress/wp-",CMS,"CVE-2017-14723
CVE-2017-16510
CVE-2017-5611
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,mod_ssl,mod_ssl,2.2.14,mod_ssl/2.2.14,Tool,Cannot search.,"Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,openssl,openssl,0.9.8,OpenSSL/0.9.8,Tool,"CVE-2016-8610
CVE-2014-3566
CVE-2017-3735
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,openssl,openssl,0.9.8k,OpenSSL/0.9.8k,Tool,"CVE-2014-3566
CVE-2017-3735
CVE-2009-3245
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?p=1,apache,http_server,2.2.14,Apache/2.2.14,Web,"CVE-2017-3167
CVE-2017-3169
CVE-2017-7668
","Log : 25.0 %
Url : 0.0 %","Log : <input type=""text"" name=""email
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133823469.log,2018/10/23 13:38:23
192.168.184.129,192.168.184.129,80,Unknown,Crawling,http://192.168.184.129/wordpress/?feed=rss2&p=4,-,-,-,-,-,-,"Log : - %
Url : 0.0 %","Log : -
Url : -",-,-,Server: Apache/2.2.14 (Ubuntu) mod_mono/2.4.3 PHP/5.3.2-1ubuntu4.30 with Suhosin-Patch proxy_html/3.0.1 mod_python/3.3.1 Python/2.6.5 mod_ssl/2.2.14 OpenSSL/0.9.8k Phusion_Passenger/4.0.38 mod_perl/2.0.4 Perl/v5.10.1,C:\Users\itaka\PycharmProjects\GyoiThonLight\logs\http_192.168.184.129_80_20181023133828376.log,2018/10/23 13:38:28
